lsoacode,dwe_p45pc,dwe_p16pc,dwe_modbp,dwe_mo20bp,dwe_medbp,dwe_mdargb
E01021476,0.9504,0.0387,F,F,F,"rgb(118,213,24)"
E01021477,0.6879,0.003,F,F,F,"rgb(67,218,88)"
E01021478,0.9267,0.0042,F,F,G,"rgb(127,213,21)"
E01021516,0.9281,0.0054,H,H,G,"rgb(148,230,21)"
E01021479,0.9171,0.0033,F,F,F,"rgb(85,235,30)"
E01021481,0.8889,0.0698,H,H,G,"rgb(149,192,40)"
E01021483,0.8871,0.0427,F,F,F,"rgb(104,194,47)"
E01021512,0.9227,0,F,F,F,"rgb(110,227,22)"
E01021526,0.8486,0.0195,F,F,F,"rgb(102,221,47)"
E01021517,0.7197,0.0056,F,F,F,"rgb(31,215,95)"
E01021519,0.7467,0.003,F,F,F,"rgb(68,215,84)"
E01021530,0.8397,0.0032,F,F,F,"rgb(39,233,47)"
E01021532,0.6484,0.003,F,F,F,"rgb(46,207,92)"
E01021482,0.5984,0.0048,D,D,F,"rgb(77,207,117)"
E01021518,0.6023,0.045,K,K,F,"rgb(115,127,106)"
E01021520,0.7139,0.0163,F,F,F,"rgb(105,176,78)"
E01021529,0.6799,0.0061,D,D,F,"rgb(66,216,113)"
E01021480,0.733,0.0056,F,F,F,"rgb(104,192,78)"
E01021521,0.5114,0.0016,D,D,E,"rgb(18,222,127)"
E01021522,0.7746,0.0374,F,X,F,"rgb(96,202,88)"
E01021523,0.7925,0.0031,F,F,F,"rgb(100,222,55)"
E01021524,0.7361,0.0062,F,F,F,"rgb(72,221,82)"
E01021487,0.9664,0.0048,G,G,G,"rgb(170,235,20)"
E01021494,0.9984,0.0049,H,H,H,"rgb(210,239,0)"
E01021504,0.9981,0.0019,I,I,I,"rgb(254,162,0)"
E01021505,0.9807,0.0077,H,H,H,"rgb(237,211,5)"
E01021506,1,0.0019,H,H,H,"rgb(252,246,0)"
E01021492,0.9727,0.0169,G,G,G,"rgb(173,232,7)"
E01021493,0.9583,0.0282,H,H,H,"rgb(174,222,13)"
E01021495,0.9984,0.0565,K,K,K,"rgb(240,135,0)"
E01021496,0.9332,0.0016,H,H,G,"rgb(160,229,20)"
E01021485,1,0.0019,F,F,F,"rgb(20,244,37)"
E01021486,0.9767,0.0021,G,G,G,"rgb(180,243,6)"
E01021488,0.9822,0,F,F,F,"rgb(106,236,24)"
E01021503,0.9083,0.0036,G,G,G,"rgb(137,244,23)"
E01021507,1,0.0016,H,H,H,"rgb(235,244,0)"
E01021508,1,0,G,G,G,"rgb(197,255,0)"
E01021484,0.9659,0.0211,G,G,H,"rgb(187,216,9)"
E01021498,0.6336,0.0028,D,D,F,"rgb(109,186,98)"
E01021499,0.8341,0.0181,F,F,G,"rgb(137,215,45)"
E01021501,0.7912,0.0016,F,F,F,"rgb(80,220,68)"
E01021502,0.8467,0.1205,J,X,I,"rgb(186,162,41)"
E01021489,0.9818,0.0046,G,G,G,"rgb(191,239,4)"
E01021490,0.9664,0.0015,G,G,G,"rgb(165,242,11)"
E01021491,0.9574,0.044,G,G,G,"rgb(165,218,16)"
E01021497,0.9402,0.0058,G,G,G,"rgb(181,226,18)"
